lead_sponsor,2006_overdue,2006_total,2007_overdue,2007_total,2008_overdue,2008_total,2009_overdue,2009_total,2010_overdue,2010_total,2011_overdue,2011_total,2012_overdue,2012_total,2013_overdue,2013_total,2014_overdue,2014_total,lead_sponsor_slug
Assistance Publique - Hôpitaux de Paris,3.0,5.0,6.0,11.0,14.0,28.0,12.0,30.0,24.0,40.0,32.0,52.0,34.0,44.0,36.0,47.0,25.0,35.0,assistance-publique-hopitaux-de-paris
Assistance Publique Hopitaux De Marseille,,,,,0.0,2.0,1.0,1.0,9.0,9.0,10.0,13.0,10.0,12.0,11.0,13.0,8.0,10.0,assistance-publique-hopitaux-de-marseille
Astellas Pharma Inc,8.0,9.0,13.0,19.0,17.0,29.0,11.0,22.0,20.0,28.0,8.0,15.0,7.0,11.0,17.0,24.0,7.0,10.0,astellas-pharma-inc
AstraZeneca,15.0,26.0,25.0,51.0,5.0,74.0,1.0,76.0,6.0,51.0,2.0,48.0,5.0,35.0,8.0,25.0,1.0,22.0,astrazeneca
Bausch & Lomb Incorporated,6.0,7.0,3.0,7.0,2.0,14.0,2.0,9.0,1.0,14.0,1.0,12.0,1.0,2.0,2.0,2.0,3.0,3.0,bausch-lomb-incorporated
Bayer,13.0,20.0,20.0,31.0,15.0,56.0,9.0,29.0,11.0,29.0,15.0,45.0,3.0,18.0,9.0,20.0,11.0,19.0,bayer
Baylor College of Medicine,2.0,3.0,1.0,3.0,4.0,15.0,8.0,14.0,3.0,9.0,5.0,12.0,4.0,10.0,3.0,8.0,2.0,4.0,baylor-college-of-medicine
Beth Israel Deaconess Medical Center,1.0,1.0,2.0,3.0,3.0,3.0,4.0,6.0,6.0,10.0,4.0,10.0,2.0,8.0,3.0,7.0,3.0,8.0,beth-israel-deaconess-medical-center
Biogen,5.0,5.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,6.0,1.0,9.0,3.0,5.0,0.0,3.0,biogen
Bispebjerg Hospital,,,2.0,3.0,2.0,2.0,4.0,5.0,0.0,1.0,2.0,3.0,4.0,5.0,11.0,11.0,6.0,8.0,bispebjerg-hospital
Boehringer Ingelheim,19.0,27.0,14.0,24.0,1.0,27.0,1.0,34.0,0.0,31.0,0.0,38.0,0.0,29.0,0.0,38.0,1.0,21.0,boehringer-ingelheim
Boston Children’s Hospital,2.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,5.0,3.0,6.0,3.0,7.0,3.0,4.0,5.0,7.0,boston-childrens-hospital
Boston Medical Center,1.0,2.0,2.0,2.0,7.0,8.0,1.0,2.0,2.0,5.0,6.0,8.0,5.0,10.0,5.0,7.0,6.0,7.0,boston-medical-center
Boston Scientific Corporation,1.0,5.0,2.0,6.0,2.0,9.0,4.0,16.0,0.0,2.0,2.0,5.0,3.0,8.0,2.0,9.0,1.0,2.0,boston-scientific-corporation
Boston University,0.0,3.0,2.0,5.0,4.0,8.0,4.0,7.0,1.0,3.0,7.0,9.0,6.0,11.0,3.0,6.0,3.0,3.0,boston-university
Brigham and Women's Hospital,4.0,5.0,6.0,9.0,5.0,12.0,9.0,15.0,7.0,12.0,6.0,15.0,8.0,22.0,9.0,18.0,5.0,7.0,brigham-and-women-s-hospital
Bristol-Myers Squibb,0.0,10.0,1.0,7.0,1.0,16.0,1.0,29.0,0.0,5.0,1.0,15.0,0.0,11.0,0.0,10.0,1.0,12.0,bristol-myers-squibb
CIBA VISION,,,,,0.0,2.0,0.0,14.0,1.0,10.0,2.0,18.0,2.0,7.0,,,0.0,1.0,ciba-vision
Cairo University,,,,,5.0,5.0,0.0,1.0,4.0,7.0,1.0,1.0,4.0,6.0,11.0,17.0,10.0,13.0,cairo-university
Case Comprehensive Cancer Center,7.0,7.0,7.0,9.0,1.0,3.0,0.0,2.0,1.0,5.0,0.0,3.0,2.0,7.0,1.0,2.0,2.0,2.0,case-comprehensive-cancer-center
Catholic University of the Sacred Heart,1.0,1.0,1.0,2.0,3.0,6.0,2.0,3.0,4.0,6.0,4.0,9.0,7.0,9.0,2.0,4.0,1.0,1.0,catholic-university-of-the-sacred-heart
Cedars-Sinai Medical Center,,,2.0,3.0,0.0,1.0,2.0,4.0,5.0,9.0,0.0,3.0,4.0,6.0,3.0,4.0,1.0,2.0,cedars-sinai-medical-center
Celgene Corporation,3.0,5.0,3.0,8.0,1.0,11.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,3.0,celgene-corporation
Centers for Disease Control and Prevention,3.0,10.0,8.0,9.0,9.0,14.0,7.0,12.0,7.0,11.0,5.0,7.0,2.0,4.0,4.0,7.0,5.0,6.0,centers-for-disease-control-and-prevention
Centre Hospitalier Universitaire de Nice,,,2.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,8.0,8.0,6.0,6.0,7.0,9.0,4.0,5.0,centre-hospitalier-universitaire-de-nice
Centre Hospitalier Universitaire de Saint Etienne,,,1.0,2.0,5.0,6.0,1.0,2.0,3.0,3.0,2.0,3.0,7.0,8.0,8.0,8.0,4.0,4.0,centre-hospitalier-universitaire-de-saint-etienne
Centre for Addiction and Mental Health,3.0,3.0,3.0,5.0,1.0,3.0,0.0,3.0,3.0,6.0,4.0,7.0,2.0,4.0,2.0,4.0,5.0,7.0,centre-for-addiction-and-mental-health
Chang Gung Memorial Hospital,0.0,1.0,0.0,1.0,5.0,6.0,3.0,4.0,3.0,9.0,6.0,9.0,6.0,8.0,13.0,17.0,7.0,7.0,chang-gung-memorial-hospital
"Charite University, Berlin, Germany",3.0,4.0,6.0,13.0,6.0,10.0,4.0,10.0,1.0,5.0,9.0,11.0,5.0,8.0,10.0,15.0,14.0,16.0,charite-university-berlin-germany
Chiesi Farmaceutici S.p.A.,1.0,1.0,,,1.0,3.0,3.0,3.0,3.0,6.0,3.0,5.0,7.0,10.0,6.0,6.0,5.0,5.0,chiesi-farmaceutici-s-p-a
"Children's Hospital Medical Center, Cincinnati",,,,,1.0,1.0,0.0,3.0,3.0,6.0,3.0,6.0,4.0,9.0,10.0,10.0,6.0,7.0,children-s-hospital-medical-center-cincinnati
Children's Hospital of Philadelphia,0.0,3.0,1.0,4.0,4.0,8.0,1.0,6.0,3.0,5.0,3.0,13.0,3.0,7.0,5.0,7.0,6.0,9.0,children-s-hospital-of-philadelphia
Children's Oncology Group,9.0,13.0,12.0,16.0,0.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,,,children-s-oncology-group
Chinese University of Hong Kong,4.0,8.0,6.0,9.0,8.0,12.0,5.0,8.0,5.0,8.0,6.0,12.0,8.0,15.0,7.0,14.0,8.0,10.0,chinese-university-of-hong-kong
Chulalongkorn University,,,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,5.0,6.0,3.0,8.0,3.0,5.0,5.0,5.0,chulalongkorn-university
City of Hope Medical Center,,,5.0,6.0,1.0,1.0,3.0,3.0,10.0,10.0,4.0,5.0,3.0,4.0,5.0,7.0,8.0,8.0,city-of-hope-medical-center
